country_code,year,total_resource_rents_gdp,oil_rents_gdp,mineral_rents_gdp
CPV,2012,25.055847063546,0.0,0.0
CPV,2013,16.5579387748728,0.0,0.0
CPV,2014,12.0093542433174,0.0,0.0
CPV,2015,9.49812397150104,0.0,0.0
CPV,2016,10.1923207968108,0.0,0.0
CPV,2017,12.3203094483764,0.0,0.0
CPV,2018,14.343668170972,0.0,0.0
CPV,2019,13.1611296712207,0.0,0.0
CPV,2020,11.5827986817016,0.0,0.0
CPV,2021,17.6577234520724,0.0,0.0
CPV,2022,,,
CPV,2023,,,
CPV,2024,,,
CPV,2025,,,
CRI,1960,,,
CRI,1961,,,
CRI,1962,,,
CRI,1963,,,
CRI,1964,,,
CRI,1965,,,
CRI,1966,,,
CRI,1967,,,
CRI,1968,,,
CRI,1969,,,
CRI,1970,4.1381093479382,,0.0
CRI,1971,3.81416475888186,0.0,0.0
CRI,1972,3.96846111840314,0.0,0.0
CRI,1973,5.86324949378323,0.0,0.0
CRI,1974,5.390086997843,0.0,0.0
CRI,1975,7.25532165838192,0.0,0.0
CRI,1976,5.57056100054415,0.0,0.0
CRI,1977,5.77839973265896,0.0,0.0
CRI,1978,5.62614581157511,0.0,0.0
CRI,1979,6.95956771927222,0.0,0.0178223345927696
CRI,1980,5.35292211938217,0.0,0.118451966276252
CRI,1981,8.51618483880154,0.0,0.129127788037623
CRI,1982,12.0102516165451,0.0,0.0975150535081069
CRI,1983,5.07941728214559,0.0,0.141385562796264
CRI,1984,2.93758009771221,0.0,0.0882879365701097
CRI,1985,2.44375554019942,0.0,0.0214602012822487
CRI,1986,2.51558334113549,0.0,0.0318100498448544
CRI,1987,3.25696100718751,0.0,0.0119141811318091
CRI,1988,3.04797984016949,0.0,0.009013311152319
CRI,1989,2.81183420537514,0.0,0.00325102935529245
CRI,1990,3.29362536409102,0.0,0.00205811943715435
CRI,1991,2.7705851981399,0.0,0.0123960826213459
CRI,1992,2.57139424487584,0.0,0.0
CRI,1993,2.20327488825599,0.0,0.0
CRI,1994,2.36855202407589,0.0,0.0
CRI,1995,2.90594941109728,0.0,0.0198851199311391
CRI,1996,2.57877076272718,0.0,0.0203766895261232
CRI,1997,2.28730285708989,0.0,0.010574299244613
CRI,1998,1.51817198447363,0.0,0.00540689366699148
CRI,1999,1.15423351439575,0.0,0.00170714970915606
CRI,2000,1.01441557771135,0.0,0.000646314517951147
CRI,2001,1.05121844888149,0.0,0.000497762772491522
CRI,2002,0.981118861036768,0.0283908073416018,0.00095180489289832
CRI,2003,1.02044880139504,0.0374595979479728,0.00200982825469008
CRI,2004,1.00110593588162,0.0613781507663448,0.00490037392806359
CRI,2005,1.12142978712725,0.13263457054308,0.0149614957385484
CRI,2006,1.49198409303492,0.145655110180747,0.0583936415535772
CRI,2007,1.63840228211153,0.177661149458376,0.0883425044126957
CRI,2008,1.48654911478283,0.177814056910713,0.00701556216592066
CRI,2009,1.2301475943504,0.0442489217587359,0.00794854259965576
CRI,2010,1.62716715850808,0.0,0.0173466150644474
CRI,2011,1.26384990129987,0.0,0.033253848839724
CRI,2012,1.2425772572914,0.0649850267861909,0.0242863788778182
CRI,2013,1.34122901696494,0.0577584252152377,0.00342713896408193
CRI,2014,1.387670718648,0.0518301508258059,0.00229688333739257
CRI,2015,1.13397448273593,0.0200960578384208,0.00141785290308843
CRI,2016,1.23322083330008,0.0158677459016205,0.00213415610925803
CRI,2017,1.13383955527767,0.00585553483434446,0.00200025050881263
CRI,2018,0.945537295658598,0.00900722494170017,0.0
CRI,2019,0.759689840900586,0.00698634796129753,0.0
CRI,2020,0.904748239780319,0.00341590826010993,0.0
CRI,2021,0.763407374189705,0.00896579369125843,0.0
CRI,2022,,,
CRI,2023,,,
CRI,2024,,,
CRI,2025,,,
CSS,1960,,,
CSS,1961,,,
CSS,1962,,,
CSS,1963,,,
CSS,1964,,,
CSS,1965,,,
CSS,1966,,,
CSS,1967,,,
CSS,1968,,,
CSS,1969,,,
CSS,1970,5.57680083307752,,4.4015455031447
CSS,1971,5.22399048212083,,4.1553955947164
CSS,1972,4.80041291831336,,3.70077444471438
CSS,1973,4.28891165982576,,2.83580010811796
CSS,1974,5.52092445796698,,4.50090525499342
CSS,1975,4.04612138951367,,2.94983867498327
CSS,1976,3.98932796024793,,3.0771921101502
CSS,1977,4.2272966752354,,3.28652436922055
CSS,1978,3.84015900764549,,2.96306637751375
CSS,1979,3.13482012649561,,2.10641254173414
CSS,1980,20.7302716044224,17.7701676451974,1.65159690190537
CSS,1981,17.5748276854919,15.242401151281,1.39336256056694
CSS,1982,8.29654517426623,6.17439627398537,1.11348100256453
CSS,1983,9.3184300046987,7.57238133318588,0.810573873265261
CSS,1984,9.97805587561796,7.81929654596712,1.19073720890023
CSS,1985,9.90444063995805,7.75490430449041,1.13607617998749
CSS,1986,5.85218829817433,3.73142370922022,1.24441050412613
CSS,1987,6.96347273027407,5.39215795558132,0.812482500900989
CSS,1988,5.35884239851733,3.91463120362818,0.728049065738594
