Window,Start,End,window_years,coef,se,pval,nobs,treated,clusters
2003-2017,2003,2017,15,-0.0005189402778272125,0.007197892218194597,0.9425253944453308,666910,1768,1878
2003-2018,2003,2018,16,0.00047415361358215053,0.00745908941436453,0.9493148297636359,712935,1860,2011
2003-2019,2003,2019,17,0.0040371097048855584,0.00757517893735095,0.5940756775629168,758955,1936,2163
2004-2011,2004,2011,8,0.007155820219867928,0.005549143938941579,0.19721185043475054,353282,944,1077
2004-2012,2004,2012,9,0.0036297946297641406,0.005361635200713812,0.4984097886023391,398044,1064,1194
2004-2013,2004,2013,10,0.003364254425433024,0.005051303447932995,0.5054001765842151,442811,1185,1309
2004-2014,2004,2014,11,0.0010888035386590672,0.005670407436810991,0.847730420570563,487795,1306,1432
2004-2015,2004,2015,12,-0.001306522730768948,0.0065693658044520395,0.8423557502366956,532733,1427,1546
2004-2016,2004,2016,13,-0.0023155327551491684,0.007285245250939032,0.7506073063041578,577585,1546,1642
2004-2017,2004,2017,14,-0.0036474286298066655,0.00760399838030722,0.6314603116327164,623529,1650,1761
2004-2018,2004,2018,15,-0.0022715039831271884,0.00781118391148848,0.7712031395462611,669554,1742,1894
2004-2019,2004,2019,16,0.001797840595256212,0.00787042895445701,0.8193121165089506,715574,1818,2046
2005-2012,2005,2012,8,0.0023974834539825587,0.005939756023567317,0.6864823785394829,353869,947,1071
2005-2013,2005,2013,9,0.0017228827818635203,0.005486157901200931,0.7534893083794951,398636,1068,1186
2005-2014,2005,2014,10,-0.0007079027233610289,0.0063607199579111436,0.9113841161822014,443620,1189,1309
2005-2015,2005,2015,11,-0.0037916389412208096,0.007301580407522881,0.6035584062842783,488558,1310,1423
2005-2016,2005,2016,12,-0.004892785070586089,0.00799329365754281,0.5404641466711888,533410,1429,1519
2005-2017,2005,2017,13,-0.006118073763737582,0.00822737925130044,0.45710419316421813,579354,1533,1638
2005-2018,2005,2018,14,-0.004276937848534418,0.008343942333807933,0.6082451558110126,625379,1625,1771
2005-2019,2005,2019,15,0.00036470801440511853,0.008323879140101203,0.9650521336553621,671399,1701,1923
2006-2013,2006,2013,8,0.0006259422500908378,0.005320309251986556,0.9063438141342717,354668,953,1066
2006-2014,2006,2014,9,-0.0028360584954989264,0.006636066517345045,0.6691095531449374,399652,1074,1189
2006-2015,2006,2015,10,-0.006782622540955435,0.007670962227052726,0.3765912317730944,444590,1195,1303
2006-2016,2006,2016,11,-0.008230357361070409,0.008361262375888195,0.3249464664223205,489442,1314,1399
2006-2017,2006,2017,12,-0.009539309467134029,0.00850504569525845,0.26203004017179876,535386,1418,1518
2006-2018,2006,2018,13,-0.007488454706206452,0.008527745079409859,0.3798740701292662,581411,1510,1651
2006-2019,2006,2019,14,-0.0024230208003363568,0.008405062964390376,0.7731315730443842,627431,1586,1803
2007-2014,2007,2014,8,-0.002171094093362495,0.007000817906880776,0.7564696554925928,356065,957,1071
2007-2015,2007,2015,9,-0.0069729344214693855,0.007974918129111833,0.38192325717430686,401003,1078,1185
2007-2016,2007,2016,10,-0.008659939635958538,0.008580579126358377,0.3128553030329698,445855,1197,1281
2007-2017,2007,2017,11,-0.009864568931334375,0.00858453350807365,0.2505108352292129,491799,1301,1400
2007-2018,2007,2018,12,-0.00760959735901139,0.008505480658722196,0.370963584387208,537824,1393,1533
2007-2019,2007,2019,13,-0.002052072270922067,0.008324401534607964,0.8052852283124361,583844,1469,1685
2008-2015,2008,2015,8,-0.007221764526335502,0.008394797383248963,0.38964205218778925,356778,960,1071
2008-2016,2008,2016,9,-0.00883689317532384,0.008924963955072501,0.32210956231861365,401630,1079,1167
